grid,phi_e[V],distance[m],distance[RE]
123,-1.9636550009180E-01,1.5760022600690E+07,2.4737125413106E+00
124,-1.9675448751767E-01,1.5889203113810E+07,2.4939888736165E+00
125,-1.9713674937026E-01,1.6018383626931E+07,2.5142652059223E+00
126,-1.9751238254101E-01,1.6147564140051E+07,2.5345415382281E+00
127,-1.9788148184586E-01,1.6276744653172E+07,2.5548178705339E+00
128,-1.9824414008358E-01,1.6405925166292E+07,2.5750942028398E+00
129,-1.9860044809204E-01,1.6535105679413E+07,2.5953705351456E+00
130,-1.9895049480257E-01,1.6664286192533E+07,2.6156468674514E+00
131,-1.9929436729232E-01,1.6793466705653E+07,2.6359231997572E+00
132,-1.9963215083496E-01,1.6922647218774E+07,2.6561995320631E+00
133,-1.9996392894943E-01,1.7051827731894E+07,2.6764758643689E+00
134,-2.0028978344710E-01,1.7181008245015E+07,2.6967521966747E+00
135,-2.0060979447726E-01,1.7310188758135E+07,2.7170285289805E+00
136,-2.0092404057094E-01,1.7439369271255E+07,2.7373048612864E+00
137,-2.0123259868326E-01,1.7568549784376E+07,2.7575811935922E+00
138,-2.0153554423424E-01,1.7697730297496E+07,2.7778575258980E+00
139,-2.0183295114815E-01,1.7826910810617E+07,2.7981338582038E+00
140,-2.0212489189146E-01,1.7956091323737E+07,2.8184101905097E+00
141,-2.0241143750940E-01,1.8085271836857E+07,2.8386865228155E+00
142,-2.0269265766123E-01,1.8214452349978E+07,2.8589628551213E+00
143,-2.0296862065413E-01,1.8343632863098E+07,2.8792391874271E+00
144,-2.0323939347595E-01,1.8472813376219E+07,2.8995155197330E+00
145,-2.0350504182661E-01,1.8601993889339E+07,2.9197918520388E+00
146,-2.0376563014844E-01,1.8731174402460E+07,2.9400681843446E+00
147,-2.0402122165522E-01,1.8860354915580E+07,2.9603445166504E+00
148,-2.0427187836019E-01,1.8989535428700E+07,2.9806208489563E+00
149,-2.0451766110295E-01,1.9118715941821E+07,3.0008971812621E+00
150,-2.0475862957521E-01,1.9247896454941E+07,3.0211735135679E+00
151,-2.0499484234561E-01,1.9377076968062E+07,3.0414498458737E+00
152,-2.0522635688336E-01,1.9506257481182E+07,3.0617261781796E+00
153,-2.0545322958104E-01,1.9635437994302E+07,3.0820025104854E+00
154,-2.0567551577632E-01,1.9764618507423E+07,3.1022788427912E+00
155,-2.0589326977275E-01,1.9893799020543E+07,3.1225551750970E+00
156,-2.0610654485961E-01,2.0022979533664E+07,3.1428315074029E+00
157,-2.0631539333086E-01,2.0152160046784E+07,3.1631078397087E+00
158,-2.0651986650316E-01,2.0281340559904E+07,3.1833841720145E+00
159,-2.0672001473308E-01,2.0410521073025E+07,3.2036605043203E+00
160,-2.0691588743334E-01,2.0539701586145E+07,3.2239368366262E+00
161,-2.0710753308831E-01,2.0668882099266E+07,3.2442131689320E+00
162,-2.0729499926864E-01,2.0798062612386E+07,3.2644895012378E+00
163,-2.0747833264507E-01,2.0927243125506E+07,3.2847658335436E+00
164,-2.0765757900148E-01,2.1056423638627E+07,3.3050421658495E+00
165,-2.0783278324713E-01,2.1185604151747E+07,3.3253184981553E+00
166,-2.0800398942814E-01,2.1314784664868E+07,3.3455948304611E+00
167,-2.0817124073826E-01,2.1443965177988E+07,3.3658711627669E+00
168,-2.0833457952889E-01,2.1573145691109E+07,3.3861474950728E+00
169,-2.0849404731833E-01,2.1702326204229E+07,3.4064238273786E+00
170,-2.0864968480043E-01,2.1831506717349E+07,3.4267001596844E+00
171,-2.0880153185246E-01,2.1960687230470E+07,3.4469764919902E+00
172,-2.0894962754238E-01,2.2089867743590E+07,3.4672528242961E+00
173,-2.0909401013543E-01,2.2219048256711E+07,3.4875291566019E+00
174,-2.0923471710005E-01,2.2348228769831E+07,3.5078054889077E+00
175,-2.0937178511322E-01,2.2477409282951E+07,3.5280818212135E+00
176,-2.0950525006520E-01,2.2606589796072E+07,3.5483581535194E+00
177,-2.0963514706360E-01,2.2735770309192E+07,3.5686344858252E+00
178,-2.0976151043703E-01,2.2864950822313E+07,3.5889108181310E+00
179,-2.0988437373800E-01,2.2994131335433E+07,3.6091871504368E+00
180,-2.1000376974547E-01,2.3123311848553E+07,3.6294634827427E+00
181,-2.1011973046674E-01,2.3252492361674E+07,3.6497398150485E+00
182,-2.1023228713892E-01,2.3381672874794E+07,3.6700161473543E+00
183,-2.1034147022990E-01,2.3510853387915E+07,3.6902924796601E+00
184,-2.1044730943885E-01,2.3640033901035E+07,3.7105688119660E+00
185,-2.1054983369628E-01,2.3769214414156E+07,3.7308451442718E+00
186,-2.1064907116373E-01,2.3898394927276E+07,3.7511214765776E+00
187,-2.1074504923295E-01,2.4027575440396E+07,3.7713978088834E+00
188,-2.1083779452487E-01,2.4156755953517E+07,3.7916741411893E+00
189,-2.1092733288808E-01,2.4285936466637E+07,3.8119504734951E+00
