grid,phi_e[V],distance[m],distance[RE]
180,3.20065583314393E+02,1.1371352467238E+08,1.7848614765716E+01
181,3.37416216893957E+02,1.1402324934476E+08,1.7897229531432E+01
182,3.56064333138029E+02,1.1433297401713E+08,1.7945844297149E+01
183,3.76138135638105E+02,1.1464269868951E+08,1.7994459062865E+01
184,3.97776321746759E+02,1.1495242336189E+08,1.8043073828581E+01
185,4.21141872575085E+02,1.1526214803427E+08,1.8091688594297E+01
186,4.46420161046741E+02,1.1557187270664E+08,1.8140303360013E+01
187,4.73804904064351E+02,1.1588159737902E+08,1.8188918125729E+01
188,5.03541835427061E+02,1.1619132205140E+08,1.8237532891446E+01
189,5.35892210987801E+02,1.1650104672378E+08,1.8286147657162E+01
190,5.71162586752093E+02,1.1681077139616E+08,1.8334762422878E+01
191,6.09708084183254E+02,1.1712049606853E+08,1.8383377188594E+01
192,6.51934811984304E+02,1.1743022074091E+08,1.8431991954310E+01
193,6.98316016920642E+02,1.1773994541329E+08,1.8480606720026E+01
194,7.49405109818604E+02,1.1804967008567E+08,1.8529221485743E+01
195,8.05848063666221E+02,1.1835939475804E+08,1.8577836251459E+01
